,Constant Role Power Usage,Role Change Power Usage,Transmission Power Usage
9,130.30470399999945,0.324,164.23660800000212
7,130.30470399999945,0.324,356.9440320000064
6,130.30470399999945,0.324,39.529728000000055
1,12096.04940800003,0.324,71.29468800000004
10,130.30470399999945,0.324,390.35606400000717
8,1881.8543999999997,0.486,97.41254400000062
4,130.30470399999945,0.324,54.11807999999994
3,89.99999999999986,0.162,79.29475200000022
2,130.30470399999945,0.324,68.47113599999997
5,130.30470399999945,0.324,43.76505600000002
